Instance;;ILS – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BRKGA – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO – Chagas and Wagner (2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_01_01.thop;;12510;12621;12424;12626;12414;12699;12320;12576;12523;12617;12467;12786;12745;12458;12781;12424;12449;12386;12419;12409;12480;12705;12891;12611;12327;12787;12322;12449;12545;12403;;13096;13121;12918;13096;13101;13112;12898;13117;12996;13023;13017;13117;13006;13027;13023;13006;12921;13013;13117;12921;13027;12918;12921;13118;13037;13023;12921;13027;13021;13117;;12955;12955;12991;12955;12955;12955;13162;13198;13193;12955;12751;12955;13212;13198;12955;12955;12955;12955;13218;13070;12955;13029;12955;12955;12955;13182;13212;13041;12955;13097;;13166;13222;13109;13127;13222;13164;13188;13188;13174;13226;13198;13109;13109;13193;13226;13119;13123;13222;13205;13188;13257;13198;13198;13226;13222;13198;13131;13198;13203;13174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_01_02.thop;;13288;13324;13677;13491;13323;13557;13496;13525;13719;13753;13176;13511;13510;14016;13323;13319;13323;13470;13524;13425;13310;13826;13481;13287;13691;13414;13607;13501;13425;13123;;14508;14326;14426;14414;14426;14415;14426;14422;14426;14426;14322;14527;14418;14424;14326;14413;14425;14426;14320;14426;14321;14426;14426;14426;14127;14427;14413;14423;14415;14427;;14088;14089;14089;14123;14088;14131;14287;14131;14131;14088;14089;14088;14088;14088;14064;14088;14088;14131;14131;14194;14105;14088;14269;14096;14089;14089;14105;14130;14096;14088;;14412;14367;14423;14375;14316;14412;14412;14330;14412;14367;14412;14412;14317;14367;14367;14367;14366;14367;14330;14281;14297;14306;14344;14448;14367;14297;14412;14305;14412;14367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_01_03.thop;;13917;14019;14122;14394;13864;13982;13796;14005;13812;14321;13827;14202;13794;13918;14192;14118;13907;14312;14094;13775;14292;14315;13994;14322;13861;14319;14155;14094;14123;14063;;15021;14915;15105;15115;15121;15026;14926;15218;15169;15200;15115;15219;15126;15018;15127;15018;15095;15015;15120;15026;15127;15219;15169;15227;15018;15126;14926;15121;15169;15110;;15316;15316;15316;15316;15316;15317;15316;15316;15316;15316;15316;15316;15316;15316;15316;15316;15316;15316;15317;15317;15316;15316;15316;15316;15316;15316;15316;15316;15316;15316;;15310;15316;15316;15324;15316;15316;15317;15316;15316;15321;15316;15316;15316;15316;15316;15316;15316;15317;15316;15316;15316;15307;15317;15316;15316;15316;15316;15316;15316;15316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_05_01.thop;;43219;45072;42725;43998;42989;44020;44081;43803;42956;43556;43152;44814;42969;42448;42078;43984;44327;42847;42973;43304;43502;44876;43679;43317;42679;44368;43450;43013;44143;43058;;45786;45612;45695;45891;45505;45912;45185;45866;45479;45497;45809;45809;45891;45891;45516;45603;45607;45401;45569;45493;45361;45633;45405;45765;45813;45809;45689;45967;45785;45607;;43935;45168;43465;44877;44671;44575;44322;44932;44647;44680;44873;44274;43974;44524;44584;44512;43799;44245;44580;45029;44671;44675;43836;44471;44650;43930;44209;44415;44376;44411;;46063;46364;46364;46364;46364;46364;46364;46364;46193;46021;46364;45962;46063;46063;46364;46364;46364;46063;46364;46063;46017;46364;46063;46078;46063;46063;46364;46364;46364;46063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_05_02.thop;;51193;49671;50204;50775;49752;50975;50321;50359;50135;49505;48174;50061;50919;49331;50954;50892;49363;50801;51059;51018;50991;50789;49369;49595;50002;50649;51056;51077;49917;50463;;50673;51162;52022;51905;51237;51175;50860;51210;51077;51844;52247;52835;51010;50694;51444;51201;51777;51122;51048;51159;50604;51191;51211;51214;50789;51121;51321;51198;51175;52131;;53185;53039;52780;52985;53453;52803;52399;53289;52304;53453;52949;52720;53571;52923;52164;52503;53359;52564;52755;53453;52638;52827;52357;53120;52920;52959;52735;52819;53359;53035;;54046;54120;54014;54119;54120;54055;54119;54129;54119;54049;54120;54030;54119;54030;54119;54120;54119;54119;54190;53962;54119;54137;54120;54014;54046;54137;54119;53984;54119;54295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_05_03.thop;;51825;51544;51141;52615;51430;52155;53128;51634;51425;52120;51528;51945;52621;51026;52211;52373;52059;52414;52089;52724;51497;51675;52026;51605;52712;51824;52371;52081;51692;51979;;53936;54011;54026;54891;54111;54444;54911;54696;54332;53859;54798;54244;54202;54645;53970;54701;54019;54933;54698;54731;54729;54253;54583;53998;54734;54992;54524;54336;55007;54929;;55007;55007;55007;55007;55007;54715;55736;55007;55007;55007;55007;55007;55007;55007;54785;55007;55007;54950;55007;55007;55007;55007;54785;55007;55781;55007;55749;55007;54651;55007;;56825;56799;56760;56829;56743;56798;56831;56806;56914;56729;56777;56736;56703;56947;56661;56791;56736;56806;56806;56806;56806;56947;56858;56914;56947;56760;56798;56783;56760;56799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_10_01.thop;;55741;58393;56252;55349;59475;58343;62254;62357;58582;59654;58230;59954;57752;57034;60899;61336;60736;60299;59153;57659;61549;58903;56336;59909;59839;56359;59583;60034;60982;62828;;65947;65480;66973;67061;66984;65642;66765;66617;67077;65901;66412;66791;67649;66051;65551;66900;66256;66568;64536;67187;66357;66255;66729;65883;65608;66016;67188;66434;65433;63983;;64869;64787;64403;64990;65277;65191;62447;63811;64460;66123;64263;64990;66326;65525;67017;66456;63711;65583;65723;65391;63068;61782;65556;66205;65632;64470;64989;65152;62803;65521;;67824;68088;68074;67946;67451;67658;68192;67456;67655;68013;67759;67639;66999;67587;68019;67723;67658;66718;67690;67641;67658;68119;68032;67655;66945;68036;68195;68249;67775;67658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_10_02.thop;;72849;73120;72549;75182;73238;71836;72181;71680;71123;72263;73200;76484;75003;72749;73167;76323;75149;70226;73335;69766;76957;72473;70087;70156;76260;68382;74637;66904;72080;70543;;85771;85147;84753;85723;84785;84172;85764;85720;84874;84330;85443;84926;84632;86031;85116;84013;85706;83296;85212;83722;85237;86008;85308;85210;85728;84954;85424;85344;85727;83912;;81746;80657;81041;81353;82215;81226;81707;81979;81939;82695;81914;80244;81790;80625;80047;80750;82980;80968;81125;81808;80742;81047;81862;80947;80616;82187;82348;80533;80411;81200;;84515;84957;84464;85380;84427;84908;84660;84349;85039;85200;84385;84336;84980;84605;85048;84542;85055;84336;85092;83922;84348;85005;84908;84737;84109;84391;85866;85779;86041;84707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_bsc_10_03.thop;;78267;81883;82265;81825;80701;79717;81114;81200;77401;82198;76799;85052;79039;81756;79774;82960;80684;79999;82360;79552;86772;79371;79311;79067;79451;76514;81279;80327;80804;77304;;94625;95027;96350;96455;96270;96079;95408;94444;95221;96652;96155;94974;96323;95204;95073;95580;95721;94307;96180;95574;95564;94353;95254;94584;95458;96905;95654;94720;95968;96048;;94842;93954;92555;95192;94429;94812;93620;93328;94305;94166;94523;93701;93994;93702;92788;94356;93807;94271;93837;94760;93496;94694;93452;93991;93612;93468;94796;93805;94659;94609;;97353;97548;97481;97424;97400;98054;98054;98197;98061;97524;97378;97003;98425;97090;97520;98312;98397;97975;97851;98397;98098;97469;97204;97561;97854;97618;96986;98309;98420;97529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_01_01.thop;;8471;8346;8911;8618;8517;8417;8408;8561;8911;8737;8640;8778;8980;8911;8712;8712;8911;8663;8574;8778;8706;8643;8493;8173;8712;8778;8778;8731;8578;8379;;8965;8959;8965;8965;8965;8965;8965;8965;8965;8965;8965;8965;8959;8965;8965;8965;8965;8965;8965;8959;8965;8965;8965;8965;8965;8965;9066;8965;8965;8965;;8817;8817;8817;8817;8817;8809;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;8817;;8809;8809;8809;8809;8817;8809;8809;8809;8809;8646;8966;8591;8809;8809;8809;8809;8817;8646;8556;8809;8809;8809;8809;8817;8809;8817;8817;8809;8809;8817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_01_02.thop;;11728;12326;11393;11557;11622;12006;11962;12103;11860;11708;11778;11557;12110;11835;10946;11885;11575;11831;11349;11335;11870;12275;12065;11674;12118;12026;11914;11308;11255;11603;;12640;12534;12506;12500;12500;12500;12500;12500;12435;12640;12500;12640;12435;12435;12435;12500;12435;12435;12462;12462;12500;12435;12453;12500;12435;12506;12507;12640;12500;12500;;11760;12180;12020;11458;12251;12251;12251;11817;12251;12048;11977;11859;11977;12251;12251;12180;12251;12048;12251;12251;12020;11920;12251;12020;12251;12251;12251;11920;12251;12251;;12090;12020;12020;12020;12020;11988;12020;12350;12251;12144;11988;12020;11932;11988;12020;12020;12020;12091;12020;12144;12020;12090;12020;12020;12020;12350;12020;12020;12020;12020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_01_03.thop;;13595;13280;13435;13050;13210;12394;13955;12703;13403;13288;13381;13458;13720;13581;12841;13955;13690;13723;13529;13776;13311;13348;13327;12917;13866;13090;13433;13694;13792;13429;;14506;14506;14506;14506;14506;14506;14506;14299;14506;14506;14308;14506;14506;14506;14506;14506;14506;14506;14506;14313;14346;14506;14506;14506;14506;14506;14506;14506;14506;14506;;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;14373;;14452;14373;14373;14452;14452;14373;14322;14452;14373;14316;14316;14373;14452;14388;14373;14351;14381;14316;14452;14462;14452;14322;14373;14373;14452;14452;14316;14373;14373;14452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_05_01.thop;;17763;17468;17008;16772;16558;16610;18186;17867;16796;17368;16640;18581;20095;16569;19023;20761;17837;17462;16652;19546;18453;17879;17220;17129;17040;19560;18762;17758;17671;19907;;21901;22065;22297;21955;21704;22105;22050;21885;21973;22109;21955;21955;22297;22138;22297;22253;22208;22309;22065;22172;22031;21866;21954;21838;21767;22109;21917;22031;21852;22031;;20183;20017;20181;20170;20170;20170;19957;20103;19969;20170;20286;20176;20214;20181;19967;19957;20174;20170;20300;19957;19863;20103;20123;20286;20686;20129;19957;19973;20181;19658;;19913;19856;20461;19772;19804;20118;20853;19945;20111;19882;20132;19772;20314;20734;19886;19940;20853;19717;20722;20019;19967;20293;20036;19886;19856;20305;19856;20532;20460;20084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_05_02.thop;;25550;23458;23448;24023;23230;24605;26788;22473;23009;24832;24133;27184;24092;23186;25203;24492;23290;23434;22482;24635;23287;23584;22696;23450;22605;23435;25555;24581;25612;23629;;29472;29586;29522;29558;29393;29360;29331;29326;29190;29260;29635;29456;29310;29355;29113;29380;29561;29543;29466;29219;29329;29744;29586;29592;29439;29480;29558;28722;29496;28644;;29075;28878;29092;28638;29075;29204;29254;29338;29075;29004;29140;29122;29254;28825;28751;29201;29075;28878;29274;29202;29004;29204;29076;28872;29075;29221;29004;29204;29254;29201;;29209;29297;29409;29297;29335;29264;29531;29505;29297;29476;29201;29486;29264;29290;29646;29201;29486;29263;29288;29192;29357;29348;29531;29289;29201;29334;29201;29372;29313;29474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_05_03.thop;;29601;27352;28012;26815;27671;28628;30600;28707;28539;29557;27949;28060;30577;29702;28668;29683;29409;28488;28013;27542;29943;29560;28462;27538;28025;28805;28726;28236;28616;27461;;33681;33411;33546;33524;33191;33421;33601;33662;33485;33780;33421;33681;33521;33531;33601;33546;33681;33745;33484;33566;33491;33350;33484;33521;33340;33401;33484;33601;33736;33423;;34368;34078;34492;34410;34116;34166;34536;34116;34412;34313;33792;34410;34413;34198;34212;34410;34363;34410;34313;34314;34220;34192;34166;34078;34116;34192;34250;34313;34160;34313;;34321;34569;34410;34488;34462;34569;34575;34471;34493;34410;34471;34431;34480;34470;34378;34442;34409;34569;34569;34569;34569;34427;34569;34569;34569;34412;34522;34569;34431;34569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_10_01.thop;;23340;20553;20051;22298;19372;21811;25141;21173;20995;21227;19569;22882;24158;20594;23682;24595;20213;20829;21827;19596;21319;23507;21781;22406;20523;22975;19332;19242;21432;21632;;29478;29015;28809;29265;29137;27977;28985;29478;29265;28954;29478;29478;29218;28927;29198;29478;28888;28714;28702;29125;29137;29086;28831;28858;28190;29004;28606;29478;28971;29478;;26056;26206;26382;26376;26021;26509;25954;25990;26367;26209;26138;26604;26464;26252;25796;26402;26200;26681;26026;26382;26320;26371;26415;26382;26198;26382;26874;26610;26138;26188;;27530;27158;27002;26982;27002;26950;27143;26971;27530;26876;27025;26982;27071;27249;27249;26982;27002;26875;27066;27071;27062;27071;26907;26751;27216;26907;27409;27211;27042;27028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_10_02.thop;;31818;30027;30133;28362;24928;28466;31244;28501;27236;32015;29375;28864;30981;27627;33429;29616;32510;29043;28949;28669;29437;30825;29320;29282;27505;28896;27049;28184;30084;27188;;37294;38325;38192;38303;37750;38199;37859;37925;37870;37779;38183;37025;38064;38309;37945;37986;38325;37669;37841;38091;37669;37725;37928;37346;37892;37764;37618;38390;37133;37923;;39588;39193;38550;39193;39193;38550;39096;38569;38950;38868;39344;39193;38806;39102;39193;38654;39102;38883;39102;38852;38852;39094;38854;38639;39193;39247;39141;38800;39141;39045;;39551;39547;39732;39801;39603;39547;39387;39603;39551;39801;39460;39801;39354;39892;39801;39603;39801;39551;39551;39801;39801;39551;39801;39551;39361;39438;39574;39547;39551;39322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_unc_10_03.thop;;34064;37374;34230;35184;36544;36397;35667;36315;36357;33454;35131;36674;36339;36770;35164;35337;34742;37834;35988;35290;35633;36423;36821;36577;36189;34545;32443;35116;33301;34353;;42491;43020;43845;43024;42658;43246;42654;43857;41594;43280;43838;43547;43750;43505;43112;43536;43351;43937;42075;42894;40942;43781;43006;41791;43572;43065;41611;42681;43555;42835;;44823;44807;44612;44823;44823;44856;44890;44823;44828;44426;44794;44802;44385;44531;44823;44784;44530;44937;44629;44913;44629;44532;44468;44453;44671;44476;44616;44724;44432;44530;;45473;45585;45473;45462;45473;45585;45577;45472;45462;45530;45585;45462;45571;45462;45473;45469;45473;45486;45439;45524;45473;45457;45473;45473;45472;45585;45462;45473;45489;45462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_01_01.thop;;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;5799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_01_02.thop;;7827;7786;7827;7827;7739;7748;7827;7786;7786;7773;7786;7827;7786;7773;7892;7739;7786;7827;7827;7786;7786;7773;7773;7786;7773;7786;7827;7773;7773;7748;;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;;7757;7786;7757;7786;7757;7757;7757;7757;7757;7757;7757;7757;7757;7757;7757;7757;7757;7757;7786;7773;7757;7757;7757;7757;7786;7757;7757;7757;7757;7757;;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7786;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;7892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_01_03.thop;;8429;8429;8429;8362;8429;8429;8429;8429;8429;8419;8419;8429;8429;8429;8419;8429;8429;8429;8404;8429;8419;8419;8429;8419;8429;8419;8419;8419;8419;8429;;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;8429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_05_01.thop;;23791;22582;23592;22546;21890;24148;24407;23569;22076;24492;21602;23347;25186;21763;22829;25465;23933;22763;21778;23169;22603;22941;23305;25038;22551;23028;21890;22409;21765;24768;;26193;26272;26412;26339;26460;25773;26295;26460;26150;26396;26247;26507;26460;26460;26460;26339;26460;26460;26103;26396;26404;26130;26361;26412;25975;25891;26460;26268;25969;26051;;25934;25934;25850;25934;25934;25724;25845;25898;25787;25769;25934;25695;25934;25934;25898;25695;25934;25845;25934;25845;25898;25934;25898;25934;25850;25769;25898;25769;25898;25850;;26130;26420;26226;26207;26176;26226;25907;26268;26226;26176;26229;26010;26210;26066;26210;26226;26009;26110;25922;25907;26110;25907;26232;26042;26226;25889;26106;26131;25955;26238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_05_02.thop;;29136;27690;29001;29542;26867;28756;30610;27667;28828;28276;28982;28468;31109;29824;30080;31453;29439;29052;28231;28393;28759;28389;29656;27382;27867;29485;29777;28548;29264;29845;;32468;32412;31651;32389;32150;32084;32041;32567;32226;32094;31773;31968;32011;31995;32468;31882;32336;32300;32136;32197;32567;32009;32617;32118;31993;32227;32245;32465;32150;32265;;31221;30869;31272;31754;31152;30768;31255;31641;30988;31152;31088;31221;31032;31237;31358;31135;31135;31118;30921;31135;31050;31272;30920;31032;30988;31221;31032;31237;31085;31491;;31649;31649;31683;31381;31495;31700;31700;31495;31766;31649;31863;31863;31700;31505;31658;31649;31863;31316;31553;31863;31477;31444;31687;31700;31835;31658;31649;31553;31698;31700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_05_03.thop;;31003;32896;32063;32293;32414;32242;32725;31587;32334;30796;30648;33212;32479;31479;32711;32521;31630;32103;32428;32015;32108;32100;32241;31766;31708;32800;34329;32025;30378;32852;;35227;35735;35708;35735;35665;35453;35735;35735;35697;35415;35471;35735;35735;35230;35581;35683;35268;35631;35735;35166;35735;35581;35604;35812;35395;35448;35518;35469;35735;35707;;35599;35757;35757;35635;35599;35635;35647;35635;35757;35635;35635;35599;35635;35635;35599;35635;35635;35635;35647;35599;35647;35757;35599;35635;35757;35635;35860;35635;35635;35635;;35811;35889;35757;35853;35963;35757;35889;35781;35892;36038;35889;35889;35860;35757;36000;35892;35757;35781;35882;35757;35831;35933;35889;35828;35757;35757;35831;35860;35757;35860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_10_01.thop;;25938;26515;25214;28352;27162;27224;28475;28100;27579;26557;26604;27476;27584;26500;26551;26775;28042;25848;27478;25527;28000;27682;27189;28301;27105;26769;26618;26044;28052;27009;;34012;33070;33677;33096;33116;32936;33525;33683;32907;33746;32957;33189;33502;33711;33354;33227;32838;33135;32779;32935;33914;33193;33497;33713;32780;33784;32619;33376;33292;33814;;33163;32936;32677;33626;32450;32936;33626;33453;33453;33453;32677;32799;32550;33285;33453;32840;33453;33285;32336;33013;32840;32850;33013;33453;32763;33626;33453;32299;32617;32936;;33410;33349;33282;33626;33282;33299;33349;33349;33349;33282;33370;33282;33349;33282;33282;33511;33687;33460;33410;33282;33737;33282;33282;33283;33282;33282;33282;33282;33428;33282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_10_02.thop;;33555;33657;33918;32360;31087;34738;33012;33821;34058;31560;33608;32362;34163;36873;35357;34903;34449;34003;33504;33903;34455;33004;34457;31854;32744;33494;34087;32569;34793;33078;;41619;42286;41758;41431;41983;40949;42175;42368;41303;41241;41839;41687;41552;40658;40646;41897;41727;41091;42235;41683;41525;41911;41885;42220;41477;41566;41725;42019;42001;41424;;43287;42926;42926;43131;43287;43131;42486;42691;42931;42570;42926;42917;43131;42926;42948;42926;42926;43131;42926;43287;42590;42674;43287;43286;43081;42997;43052;43122;42926;42926;;44034;44023;44131;44034;44023;44026;44034;44026;44034;44026;43947;43829;44131;43510;43345;44207;44034;44131;44034;44023;43530;43345;43510;44034;43991;44077;44034;43744;44034;43478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_01_usw_10_03.thop;;37803;38279;38691;36836;40293;39152;38380;38451;37508;37831;38254;37214;38089;37143;37709;41821;37148;41443;37607;35275;39569;39257;38882;38803;37318;38372;38803;38347;38991;37643;;47787;48802;47442;46941;47784;46804;45695;48197;48245;47528;48004;47160;47312;47413;47598;46826;46924;45223;46203;45013;46828;45853;46541;47356;48135;46835;47774;47387;46096;46816;;49986;50218;50002;50057;50008;49983;50045;50002;49983;49983;49983;50045;49983;49983;50077;49983;49983;49983;49983;49983;49983;50145;49983;50077;50002;50209;49983;49983;50077;49983;;50444;50499;50444;50444;50499;50444;50444;50444;50382;50444;50444;50350;50499;50444;50382;50350;50444;50444;50444;50499;50444;50444;50499;50444;50444;50499;50444;50444;50444;50382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_03_bsc_01_01.thop;;36084;36050;36561;36590;36864;36619;36762;37357;36442;36935;36622;36864;37918;37137;36154;37696;36261;36533;36152;36360;36925;37159;36855;36864;37349;36321;37451;36933;37161;36285;;37460;37861;38421;38162;37459;38356;37563;38564;37761;37763;38258;38313;38431;38314;37659;38342;38364;37364;37854;38021;38454;38062;37758;37660;37555;38154;38362;37763;38758;38354;;39086;39162;39052;39162;39162;39030;39086;39162;39086;39086;39086;39062;39062;39062;39162;39162;38916;38912;39127;39086;39086;38934;39086;39162;39162;39162;39135;39062;39068;39021;;39528;39661;39511;39548;39661;39546;39528;39563;39564;39639;39548;39720;39852;39761;39559;39649;39661;39429;39661;39720;39486;39650;39492;39720;39852;39548;39542;39571;39742;39263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_03_bsc_01_02.thop;;38620;38325;36850;38349;37936;38305;37159;38361;37563;37352;37727;38663;38427;38245;37923;37908;38941;38144;38193;38051;39147;38947;38552;37963;38850;38244;38955;39038;38822;38258;;39262;40365;39930;39562;40363;40441;40263;39554;39994;39261;40042;40561;40464;40753;40363;39946;40760;40152;40259;40664;40460;40059;39958;39452;40045;39458;39253;39363;39502;39664;;40854;40854;40498;40854;40854;40688;40854;40755;40727;40854;40854;40854;40854;40854;40854;40879;40687;40854;40643;40756;40854;40537;40847;40854;40854;40581;40727;40576;40854;40854;;43036;42748;42912;42951;42991;42759;43005;42821;42906;43199;42841;42899;43114;42853;42750;42719;42858;43010;42831;43143;42736;42847;43039;43283;42736;42838;42991;43010;42857;42867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_03_bsc_01_03.thop;;40477;39654;39857;40335;39314;38748;38560;39856;39359;39839;38825;39155;39226;39564;39849;37851;39859;39550;39457;39338;39453;39663;38519;38459;38859;39762;39218;39364;39521;39145;;41958;42708;42063;41762;41763;41948;42164;42663;41850;42033;42038;42087;41463;42658;42238;42559;41996;41458;42362;41863;41959;42329;41763;41164;42663;41947;41838;42064;42614;41563;;44368;44716;44249;44145;44388;44332;44154;44356;44230;44236;44137;44494;44287;44321;44732;44242;44309;44356;44151;44056;44236;44387;44112;43943;44118;44242;44152;44454;44535;44510;;45031;45108;45239;44979;45104;45140;45162;45256;45041;45025;45002;45053;45156;45063;45256;45425;45082;45119;45162;45377;45039;45079;45380;44897;45177;45123;45053;45072;45064;45023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_03_bsc_05_01.thop;;86640;87007;93292;88175;91476;93323;95761;77358;94918;88747;85439;87296;94820;88383;94597;88314;101083;92522;90193;84179;78296;82305;91770;93045;103819;90245;90471;89907;93311;87790;;131440;128760;125991;129710;127354;132582;127837;128429;130675;134124;128622;135016;130971;131760;127288;125036;134152;135674;131790;133356;129725;129479;127706;131800;130245;127175;132829;129715;130854;136689;;142672;140706;142270;140788;142328;141210;142358;141149;141723;142232;143132;141760;141840;140820;141362;141153;141543;141743;141153;141047;141747;141775;141575;139469;139518;142873;142147;141130;140868;140355;;150317;150928;150078;150078;150822;150055;150822;150718;150078;150078;150078;150881;150928;150078;151186;150881;150881;150167;150344;150781;150406;150928;150991;149771;150078;150481;149667;150822;150167;150822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pr107_03_bsc_05_02.thop;;116945;103272;105932;104844;118072;124101;118852;108069;116437;118446;113527;116288;118536;116004;111478;105288;105873;108295;102604;116734;107424;118136;118448;113163;116365;117057;104035;111019;116490;115061;;152886;147960;149716;148397;153766;148798;153098;149941;156457;151445;154654;148235;152741;150497;151262;156110;151420;156803;157295;157262;152451;145093;151579;155135;148575;150443;156926;155326;152077;149925;;167819;168931;169408;169762;168713;169582;169180;168670;169554;169695;168695;168649;168659;168663;168670;168501;168775;168829;168509;168630;169160;168592;169415;167978;167828;169720;167653;167819;168712;169418;;173884;173778;173983;173805;173992;173852;174012;173992;173617;174026;173885;174026;174026;173941;173889;173809;174003;173820;174099;173736;173874;173671;173771;174243;173899;173732;174246;173820;174031;174061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
