Instance;;ILS – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BRKGA – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO – Chagas and Wagner (2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_01_02.thop;;7217;7286;7055;7286;7217;7217;7183;7217;7217;7217;7217;7055;7355;7178;7217;7178;7138;7286;7217;7183;7217;7217;7286;7217;7217;7178;7286;7286;7178;7186;;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7355;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;7405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_01_03.thop;;7955;7836;7548;7517;7559;7548;7517;7548;7474;7440;7474;7955;7548;7548;7548;7517;7548;7517;7548;7548;7528;7517;7548;7548;7517;7836;7548;7548;7559;7667;;7986;7955;7986;7955;7986;7986;7955;7986;7955;7986;7986;7986;7986;7766;7986;7986;7986;7986;7986;7986;7986;7766;7986;7986;7986;7766;7986;7766;7986;7955;;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;7986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_05_01.thop;;11414;10856;11557;11338;11161;11241;10965;10704;11163;10766;10748;10776;10952;11807;10908;10591;10891;10674;11260;10992;11016;10907;11064;10595;11430;10889;10834;10868;10503;10805;;11795;11825;11825;11780;11357;11590;11825;11825;11850;11980;11850;11825;11825;11850;11780;11780;11780;11780;11825;11980;11780;11825;11780;11780;11825;11780;11825;11780;11980;11405;;11603;11613;11389;11613;11389;11501;11155;11728;11603;11613;11980;11649;11344;11390;11613;11613;11384;11603;11613;11613;11359;11613;11603;11649;11067;11613;11603;11980;11861;11257;;11850;11884;11980;11980;11850;11980;11980;11850;11980;11980;11980;11850;11980;11980;11850;11980;11980;11980;11980;11850;11980;11980;11856;11980;11850;11850;11980;11980;11850;11980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_05_02.thop;;13826;13562;14125;14295;13391;13770;14102;13348;14075;14138;14081;13777;14009;14053;14543;13915;13642;13427;14241;13946;14091;14357;14264;13781;14412;13676;13323;13626;13709;13722;;15440;15311;15166;15311;15218;15311;15166;15311;15242;15311;15181;15218;15218;15158;15181;15311;15440;15181;15436;15199;15218;15436;15047;15311;15218;15311;15449;15311;15311;15449;;15209;15082;15244;15082;15067;15067;15067;15067;15082;15067;15082;15082;15294;15069;15067;14999;15082;15067;14913;15025;15067;15067;15036;14999;14999;15067;15069;15294;15294;15082;;15436;15436;15436;15436;15436;15199;15067;15067;15436;15449;15436;15423;15436;15436;15440;15436;15067;15436;15436;15242;15218;15449;15436;15440;15460;15436;15449;15406;15436;15460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_05_03.thop;;15725;15484;15412;16055;15793;15529;15893;15991;15507;15916;16424;15872;15833;15852;16279;16260;15845;15636;15666;15364;15688;15679;15446;15299;15718;15826;15969;15918;16093;15725;;17328;17328;17177;17328;17328;17328;17262;17328;17328;17328;17176;17328;17035;17328;16750;17328;17328;17120;17176;17097;17050;17328;17077;17328;17086;17116;17176;17120;17030;17097;;17419;17120;17176;17120;17120;17176;17419;17176;17419;17262;17381;17328;17116;17328;17120;17120;17328;17381;17120;17381;17368;17328;17120;17120;17207;17120;17120;17381;17119;17120;;17219;17381;17219;17419;17419;17419;17419;17419;17419;17381;17245;17219;17419;17419;17419;17219;17419;17419;17419;17419;17419;17419;17419;17419;17419;17419;17419;17219;17419;17219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_10_01.thop;;13152;13384;13701;13625;13748;14022;13040;13263;13617;14068;13152;14179;13387;13614;13316;14031;14074;14066;13713;13759;13532;14044;13237;13608;13286;14186;13774;13258;13960;13833;;15313;15411;15313;15438;15498;15438;15313;15313;14779;15107;15268;15411;15107;15268;15313;15441;15107;15107;15313;15107;15498;15313;15313;15441;15064;15441;15167;15194;15441;15107;;14602;14646;14759;14646;14783;14185;14920;14920;14950;14646;14511;14646;14920;14646;14950;14420;14618;14646;14424;14271;14271;14849;14401;14630;14965;14950;14646;14644;14920;14600;;15070;15498;15498;15498;15498;15048;15498;15498;15411;15498;15498;15081;15498;15498;15498;15498;15498;15498;15492;15498;15498;14894;15498;14894;14894;15498;15498;15268;15191;15498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_10_02.thop;;17691;17996;17338;17192;17997;17388;18316;16947;16934;17192;17254;18054;17619;17004;16687;16540;17417;17844;18058;17288;17050;17049;17296;17782;17127;18436;17209;17434;17046;17689;;19348;19046;19046;19473;19201;19126;19241;19173;18987;18946;18897;19473;19352;19300;19046;19126;19082;18869;19201;19300;19201;19126;19473;19046;19217;19082;18865;19201;19473;19257;;19510;19523;19510;18980;19521;19538;19523;19523;19592;19538;19316;19521;19523;19523;19538;19592;19332;19523;19510;19538;19592;19538;19523;19592;19592;19419;19538;19592;19538;19592;;19592;19538;19592;19592;19592;19592;19538;19592;19523;19592;19538;19592;19592;19523;19538;19538;19538;19538;19592;19592;19592;19538;19592;19538;19538;19538;19538;19538;19592;19592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_10_03.thop;;19708;19735;19150;19664;19257;19453;19640;19070;18685;19229;19513;19773;19574;19767;19322;19296;19613;19295;19906;19940;19601;19450;19081;19394;18995;19771;19533;19505;19402;19435;;20245;20960;20940;20960;20821;20920;20644;21029;20878;20938;20779;21029;20549;21055;20684;20920;20801;20936;20940;20940;20803;20940;21079;20553;21029;20916;21039;20940;20960;20890;;21215;21166;21215;21166;21257;20931;21215;21128;21178;21128;21219;21219;21219;21219;21219;21218;21219;21241;21116;21215;21241;21241;21215;21215;21215;21178;21215;21008;21219;21039;;21273;21245;21269;21269;21269;21245;21245;21269;21269;21245;21269;21269;21273;21273;21269;21269;21269;21265;21269;21273;21269;21245;21245;21273;21273;21269;21269;21235;21269;21269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_usw_01_01.thop;;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;2425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_usw_01_02.thop;;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;3023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
